id,label,timeset,weighted indegree,weighted outdegree,weighted degree,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality,pageranks
0,inverness,,0.0,3.0,3.0,0,50,0,0.5,0.0,0.0037450696414889177
1,lords,,0.0,20.0,20.0,0,51,1,0.4821428656578064,0.0,0.010160003538600786
2,canst,,0.0,3.0,3.0,0,52,1,0.0,0.0,0.0037051671658870373
3,macduff,,0.0,113.0,113.0,0,54,0,0.20333333313465118,0.0,0.0513651654468457
4,fleance,,1.0,22.0,23.0,0,53,1,0.4583333432674408,0.0022416542100408593,0.01112846762663065
5,malcolm,,15.0,75.0,90.0,0,49,0,0.2657894790172577,0.008112552901715343,0.03932711221872459
6,old man,,0.0,11.0,11.0,0,55,2,0.5,0.0,0.0067506515010869565
7,macbeth,,37.0,286.0,323.0,0,48,1,0.11614401638507843,0.01942120592076472,0.13598789702551087
8,lady macbeth,,73.0,32.0,105.0,0,47,1,0.3285714387893677,0.016817627287261473,0.041452555208581626
9,son,,42.0,65.0,107.0,0,37,0,0.17311827838420868,0.03878975619311916,0.047165630987494496
10,birnam,,9.0,14.0,23.0,0,43,2,0.3030303120613098,0.02140131767618827,0.012913466814439504
11,messenger,,4.0,5.0,9.0,0,36,2,0.4047619104385376,0.050639138344039616,0.006061966261951946
12,captain,,3.0,9.0,12.0,0,41,0,0.3055555522441864,0.019159663466147402,0.00851509796950841
13,first apparition,,2.0,2.0,4.0,0,46,2,0.5,0.014575973077220609,0.004601596182282579
14,glamis,,7.0,18.0,25.0,0,45,1,0.35555556416511536,0.021610204482395347,0.012601748390408705
15,lennox,,26.0,35.0,61.0,0,35,0,0.2785714268684387,0.07481153464177934,0.027433540710694544
17,doctor,,4.0,9.0,13.0,0,39,2,0.261904776096344,0.019159663466147402,0.00807827245219515
18,seyton,,4.0,4.0,8.0,0,38,1,0.4166666567325592,0.0215688176642364,0.005794075606659702
19,second murderer,,0.0,9.0,9.0,0,56,4,0.3333333432674408,0.0,0.006633975497472344
20,siward,,20.0,19.0,39.0,0,33,0,0.32967033982276917,0.06889332550388481,0.020227943400907313
21,bellona,,1.0,3.0,4.0,0,31,0,0.5,0.018406844792994877,0.004483607151174945
22,sinel,,2.0,3.0,5.0,0,44,1,0.5,0.022036089274628516,0.004583068173808818
23,banquo,,60.0,42.0,102.0,0,30,1,0.2153846174478531,0.13759035786136736,0.0433465131503915
24,lord,,56.0,18.0,74.0,0,26,1,0.23157894611358643,0.19498313188917635,0.033379969958483274
25,porter,,4.0,2.0,6.0,0,25,0,0.44999998807907104,0.07372555181517507,0.0050553799995920225
26,ross,,39.0,24.0,63.0,0,24,0,0.23593074083328247,0.23062938162610577,0.030768072125461548
27,third apparition,,2.0,3.0,5.0,0,42,2,0.5,0.02295640793582917,0.005190624233711579
28,sweno,,1.0,1.0,2.0,0,23,0,0.5,0.067037270978745,0.0046055509512625695
29,murderer,,25.0,28.0,53.0,0,20,4,0.24285714328289032,0.14533556366630998,0.027973533777042824
30,cawdor,,27.0,13.0,40.0,0,18,1,0.2857142984867096,0.18035234147715165,0.019243246668754214
31,apparition,,12.0,6.0,18.0,0,29,2,0.2916666567325592,0.08923565768605063,0.012978791498064326
32,third witch,,5.0,13.0,18.0,0,27,3,0.5,0.05851935024177166,0.009375262000185389
33,first witch,,8.0,26.0,34.0,0,17,3,0.3928571343421936,0.12848470872061854,0.015678197908790267
34,donalbain,,34.0,6.0,40.0,0,16,0,0.3571428656578064,0.22824714652856495,0.018218094721223103
35,witch,,56.0,25.0,81.0,0,15,3,0.2747252881526947,0.24188238100221127,0.03631513128289631
36,second witch,,17.0,1.0,18.0,0,14,3,0.5,0.12483484362305715,0.009486464774242247
37,young siward,,6.0,0.0,6.0,0,32,0,0.0,0.02399188977743761,0.005276802036279505
38,dunsinane,,17.0,3.0,20.0,0,28,2,0.30000001192092896,0.10376239396341508,0.011721576221881143
39,menteith,,9.0,5.0,14.0,0,13,0,0.4444444477558136,0.09117298548279217,0.008635182237641219
40,man,,139.0,30.0,169.0,0,12,2,0.13865546882152557,0.6755309864410274,0.0746382994427304
41,lady macduff,,25.0,0.0,25.0,0,7,0,0.5,0.23386305739664692,0.01230794400391396
42,forres,,2.0,0.0,2.0,0,11,2,0.5,0.21754284648979966,0.0033682012342678997
43,colme,,3.0,1.0,4.0,0,22,0,0.25,0.08638029217584701,0.007335674584434395
44,second apparition,,6.0,0.0,6.0,0,10,2,0.5,0.21224046380450484,0.005561367838802786
45,servant,,24.0,3.0,27.0,0,6,1,0.3333333432674408,0.5008988249070193,0.013037087742960588
46,angus,,26.0,3.0,29.0,0,5,0,0.34583333134651184,0.5416573448183979,0.014610286838407972
47,hecate,,12.0,1.0,13.0,0,4,3,0.4333333373069763,0.24533861825835623,0.0075225576351720435
48,duncan,,81.0,0.0,81.0,0,0,0,0.261904776096344,1.0,0.03500896786192089
49,norweyan,,9.0,0.0,9.0,0,3,0,0.3333333432674408,0.2252485330223035,0.006917320511343451
50,first murderer,,14.0,0.0,14.0,0,19,4,0.5,0.04409839748844411,0.009089975812078991
51,caithness,,11.0,0.0,11.0,0,2,0,0.4027777910232544,0.3369895049147794,0.007377560825773347
52,third murderer,,8.0,0.0,8.0,0,1,4,0.5,0.0725979069385779,0.006055726871658427
53,shoughs,,2.0,0.0,2.0,0,9,2,0.5,0.18369213398238765,0.003364843342499829
54,colmekill,,2.0,0.0,2.0,0,21,0,0.5,0.024687744180529415,0.004576803869214597
55,gentlewoman,,14.0,0.0,14.0,0,8,2,0.5,0.1805923139122646,0.008192788288642025
56,macdonwald,,2.0,0.0,2.0,0,40,1,0.5,0.0215688176642364,0.0035925941556122255
